"data_as_of","start_week","end_week","state","sex","age_group","covid_19_deaths","total_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_or_covid","footnote"
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Male","All ages",,"935","41",,,"47","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","Under 1 year","0",,"0","0","0","0","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","1-4 years","0",,,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","5-14 years","0",,"0","0","0","0","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","15-24 years","0","11",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","25-34 years",,"26",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","35-44 years","0","37","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","45-54 years",,"46",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","55-64 years",,"103",,,"0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","65-74 years",,"154","12",,,"14","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","75-84 years",,"136",,,"0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","85 years and over","0","171",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Female","All ages",,"693","36",,,"41","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska","Unknown","All ages","0","0","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Alaska Total","All","All Ages","11","1628","77",,,"88","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","Under 1 year","0","87",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","1-4 years",,"26",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","5-14 years",,"29",,,,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","15-24 years",,"318",,,,"10","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","25-34 years","18","520","19","11",,"27","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","35-44 years","16","584","25","10",,"33","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","45-54 years","60","981","69","32",,"101","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","55-64 years","101","2109","170","56","13","228",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","65-74 years","121","3250","276","66","14","345",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","75-84 years","200","3931","372","108","12","476",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","85 years and over","175","3318","280","86","10","379",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Male","All ages","698","15153","1219","371","61","1607",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","Under 1 year","0","67",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","1-4 years","0","21",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","5-14 years","0","22","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","15-24 years",,"96",,,"0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","25-34 years",,"232","15",,,"20","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","35-44 years","12","290","17",,,"25","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","45-54 years","30","502","41","14",,"61","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","55-64 years","61","1322","126","37","10","160",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","65-74 years","103","2341","205","61","16","263",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","75-84 years","150","3426","296","76","10","380",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","85 years and over","197","4590","321","91",,"435","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Female","All ages","561","12909","1028","290","52","1351",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona","Unknown","All ages","0","0","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arizona Total","All","All Ages","1259","28062","2247","661","113","2958",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","Under 1 year","0","58",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","1-4 years","0","15","0","0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","5-14 years","0","16","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","15-24 years",,"110",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","25-34 years",,"204",,"0",,"14","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","35-44 years",,"280","16",,,"20","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","45-54 years","13","487","24",,,"34","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","55-64 years","26","1188","79","10","11","106",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","65-74 years","28","1697","116","20","11","135",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","75-84 years","36","1768","138","12",,"169","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","85 years and over","17","1236","109",,,"122","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Male","All ages","127","7059","494","55","40","606",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","Under 1 year","0","33",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","1-4 years","0","11","0","0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","5-14 years","0",,"0","0","0","0","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","15-24 years","0","40",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","25-34 years",,"102",,,"0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","35-44 years",,"176",,,,"14","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","45-54 years",,"343","29",,,"33","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","55-64 years","12","733","63",,,"74","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","65-74 years",,"1224","81",,"10","96","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","75-84 years","24","1632","103",,,"127","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","85 years and over","49","2122","128","10",,"175","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Female","All ages","106","6425","422","32","35","531",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas","Unknown","All ages","0","0","0","0","0","0",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","Arkansas Total","All","All Ages","233","13484","916","87","75","1137",
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","California","Male","Under 1 year","0","382",,"0","0",,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","California","Male","1-4 years","0","73",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","California","Male","5-14 years","0","110",,"0",,,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","California","Male","15-24 years",,"1004","21",,,"24","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"2020-07-01T00:00:00.000","2020-02-01T00:00:00.000","2020-06-27T00:00:00.000","California","Male","25-34 years","36","1905","59","21",,"82","One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
